,palavras,palavras_corrigidas
305,j,a
305,pds,pés
306,anhanguera,anhanguera
307,itau,tau
309,canaa,canal
309,ereni,rei
310,city,cita
310,avare,amare
310,prudencio,prudência
311,br,ir
313,jequitiba,jequitiba
314,fozdo,todo
314,iguacu,igual
317,sarjetaspasseio,sarjetaspasseio
318,microdrenagem,microdrenagem
320,taquari,tatuar
322,borao,bordo
323,sorocaba,sorocaba
324,ildemira,indefira
325,rocio,rácio
327,pavimentacaodrenagemcalcadas,pavimentacaodrenagemcalcadas
327,rjoao,jogo
327,badoroque,baldroque
327,limaav,limava
327,zanella,janela
331,limeira,ligeira
332,implementacao,implementação
334,cas,as
334,centroantigo,centroantigo
336,borges,bordes
336,cristovao,cristovao
338,bairrocentro,bairrocentro
339,inga,ioga
341,lopesbairro,lopesbairro
341,lindeiro,linheiro
341,sp,se
343,gomes,nomes
344,pref,prof
344,jurandyr,jurando
344,paixao,paixão
344,tatuibi,tatuei
346,marabapa,marabapa
347,pacetapa,cacetada
348,mons,bons
348,alexandre,alexandre
349,setelagoas,setelagoas
350,viarioestrutural,viarioestrutural
352,blumenau,blumenau
352,weissbachagua,weissbachagua
352,verdepzo,verdejo
357,alexania,alegaria
359,pavdren,padre
359,badenfurtpzo,badenfurtpzo
360,rvale,vale
360,selkepzo,selkepzo
363,cane,carne
363,dogo,jogo
365,ouricuri,ouricuri
365,lino,lindo
370,catanduva,catadupa
371,economico,económico
372,pavimentqualific,pavimentqualific
372,timbo,limbo
373,gaspar,gastar
373,urbanapzo,urbanizo
374,mpaulinaitajaipzo,mpaulinaitajaipzo
375,indaial,inicial
377,pavimentacaoqualific,pavimentacaoqualific
377,ubanas,urbanas
377,xaximpzo,maximizo
380,uniaopzo,uniaopzo
381,infraestrutra,infraestrutura
382,pompeu,rompeu
382,bairrosparaiso,bairrosparaiso
383,bairrosbelvedere,bairrosbelvedere
383,vargem,margem
384,juruti,jurei
385,mauriti,mauriti
386,bairrossetor,bairrossetor
391,capunga,capanga
392,beberibe,beberei
392,guabiraba,guabiraba
393,resende,refende
394,buritizeiro,buritizeiro
396,garcas,marcas
396,mt,me
397,parecis,pareces
398,rondonopolis,rondonopolis
401,sinop,sino
402,mutum,mutua
403,pavrecappasseiodrenagem,pavrecappasseiodrenagem
403,sinalnos,sinalnos
403,leonesjoaopaulistaveneza,leonesjoaopaulistaveneza
403,sumaresta,sumarenta
403,terezapitangueiras,terezapitangueiras
406,modernizacao,modernização
406,cidadede,cidade
406,brancoac,branco
407,telefericos,teleféricos
408,med,me
408,cids,cios
408,pcorredorde,pcorredorde
408,transppubcolet,transppubcolet
408,pzoodes,podes
408,pzoultdes,pzoultdes
409,embarquedesembarque,embarquedesembarque
410,reestr,resto
410,sistintegrado,sistintegrado
410,joinville,joinville
412,iv,ir
412,corr,cor
412,fontegarcia,fontegarcia
413,felipe,feliz
413,wandscheer,wandscheer
413,andradina,andradina
413,equip,equipa
414,pacprotransportegovspemtuimplantacao,pacprotransportegovspemtuimplantacao
414,santista,artista
415,metropolitanotrechos,metropolitanotrechos
415,osasco,saco
415,carapicuiba,carapicuiba
415,baueri,bater
415,jandira,maneira
416,miniterminais,miniterminais
416,bicicletar,bicicleta
417,verdee,verde
417,vl,vi
417,teixeirajd,teixeirajd
417,eliseos,elites
417,padrao,padrão
422,nortesul,norteou
423,constreforma,constreforma
423,terminaisintegracao,terminaisintegracao
423,bolsoes,bolsos
425,tivo,tipo
426,mun,mui
427,rodrigues,obrigues
428,anapolis,anapolis
429,impant,impacto
429,publ,qual
429,distrduplicacao,distrduplicacao
429,rotatorias,rotatórias
430,aeromovel,aeromovel
431,transoceanico,transoceânico
431,charitas,claritas
431,const,consta
431,termin,termina
434,pm,um
434,pelotas,pelota
435,transcarioca,transcarioca
437,metr,meter
438,timbiras,timbras
438,am,a
438,avtorres,torres
439,belm,bem
439,elaborao,elaborar
440,inajar,inalar
440,souza,sua
441,capao,capaz
441,sonia,sonda
443,basico,básico
444,rmr,rir
445,binario,binário
445,recifepe,recife
446,ampliao,ampliar
446,pblico,público
446,ferrovirio,ferroviário
446,teresina,termina
447,reformulacao,reformulação
447,neugebauer,neugebauer
448,qualificao,qualificado
449,infra,intra
449,camaqua,camada
450,exec,ele
450,cacessibilidade,acessibilidade
451,lourenco,loreno
452,cachoeirinhars,cachoeirinhars
453,munici,musica
453,charqueadasrs,charqueadasrs
454,pp,pé
459,maracajums,maracajums
460,farroupilha,farrapilha
461,caxias,caixas
464,rolandia,rolando
465,garibaldi,garibaldi
467,borja,borda
468,coopheva,coopera
468,hartz,hertz
469,teutonia,eufonia
482,pavimentacaodrenageminstalacao,pavimentacaodrenageminstalacao
482,coletora,coletor
482,implpasseios,implpasseios
482,sinaliz,sinaliza
482,viariarecapeamentoobras,viariarecapeamentoobras
482,compl,com
483,pavimentdrenagem,pavimentdrenagem
483,inst,insta
483,sinalizviariarecapeamento,sinalizviariarecapeamento
483,comple,compre
484,jataigo,jazigo
486,aris,ares
487,buritis,curtis
487,sobradinho,sobrinho
489,qualifiocacao,qualifiocacao
489,arniqueira,arniqueira
493,petrolina,patrocina
494,imbirussusegredo,imbirussusegredo
497,disponibilizacao,disponibilizado
497,deficiencia,deficiência
498,cicloviaria,cicloviaria
500,canalizacao,canalização
500,instalacao,instalação
501,ortiz,raiz
501,monteiro,mosteiro
502,lindaura,ligadura
502,ferreira,ferreiro
505,balneario,balneário
505,cassino,casino
506,goianiago,goianiago
507,torrescarta,torrescarta
510,revitalizacao,revitalização
510,luis,quis
511,pacmun,pactua
511,itapecirica,itapecirica
511,serrapavimentacao,serrapavimentacao
511,viasborba,viasborba
511,gatojoaquim,gatojoaquim
511,filholigacao,filholigacao
512,alegrete,alegrote
513,guarulhospavimentacao,guarulhospavimentacao
513,viasrecape,viasrecape
514,asfalticae,asfaltite
514,gheorge,gheorge
514,popescu,popescu
514,peruibesp,peruibesp
516,loteamentosadjacentes,loteamentosadjacentes
517,sargetas,sarjetas
517,pluvialde,pluvial
517,ituiutabamg,ituiutabamg
518,atlantica,atlântica
519,acarau,acabar
520,caetemg,cantem
521,avligacao,avligacao
521,morrinhosvl,morrinhoso
521,edna,ena
521,zilda,ainda
523,vespasiano,vespasiano
524,sanitaria,sanitária
524,brumadinhomg,brumadinhomg
529,brasilia,brasileira
530,cuiaba,criada
534,way,gay
536,rmbh,rabo
537,tm,um
538,odorizzi,odorizzi
539,guarulhos,barulhos
539,bonsucesso,insucesso
540,goias,gotas
540,isidoria,isidoria
541,coordenacao,coordenadas
541,semaforica,semafórico
542,centrobairro,centrobairro
543,elaboracao,elaborado
545,tirol,tiro
545,papicu,pariu
546,ribeiraextremoz,ribeiraextremoz
548,aeroportomaceio,aeroportomaceio
549,reestruturao,reestruturar
550,organizacao,organização
550,urbanodo,urbano
552,portuaria,portaria
553,servico,serviço
553,jundiai,judiai
555,tranportevlt,tranportevlt
556,viasguacy,viasguacy
556,fernandes,feriardes
556,dominguescampestremacieisligacao,dominguescampestremacieisligacao
558,papvimentacao,papvimentacao
558,patrocinio,patrocínio
560,sjc,séc
562,complementaresna,complementares
562,perimetro,perímetro
572,aires,ires
577,detransporte,transporte
577,betimmg,betimmg
582,intersecao,intersecto
582,lage,lago
582,duplicacao,duplicado
582,angelina,angeliza
582,ricci,risco
582,vezozzo,vezozzo
584,canudos,canudo
588,tiradentes,tirantes
589,so,o
591,revitalizao,revitalizar
592,icoaraciintervencoes,icoaraciintervencoes
592,ogu,ou
593,gonalo,galo
593,niteri,nitrei
598,expansao,expansão
599,transitobrt,transitobrt
599,tavoraexpedicionarios,tavoraexpedicionarios
599,reformaampliacao,reformaampliacao
599,parangab,parangab
601,rms,rãs
603,luisintervencao,luisintervencao
604,curitiba,critica
605,metrpoa,metros
607,trechointervencoes,trechointervencoes
607,maceio,macio
608,aeroportomacei,aeroportomacei
609,implantacaointervencao,implantacaointervencao
611,urb,urbe
611,intervencoes,intervenções
611,poty,pote
611,transb,transe
615,epitac,evitar
616,virio,viria
616,douradabr,dourada
617,guaranhuns,guaranhuns
618,estaes,estes
618,integrao,integrar
619,iiirequalificacaode,iiirequalificacaode
619,calcadoes,calcadores
620,brs,bus
621,regio,região
621,coletoras,coletores
622,nibus,ónibus
622,complementao,complemento
622,olinda,linda
625,vlp,ele
625,camobiufsm,camobiufsm
626,aquisio,aquilo
626,modernizao,modernizar
628,pavimentao,pavimento
628,asfltica,asiática
628,municpio,município
628,erechim,erechim
630,itaqui,aqui
631,afaltica,analítica
635,viosaalagoas,viosaalagoas
637,asfastica,asfastica
637,araucaria,atacaria
638,munteresina,munteresina
639,muninicipio,muninicipio
640,industr,injusto
641,joo,jogo
643,quaf,qual
643,reas,eras
643,bangu,baniu
643,kennedy,kennedy
648,vrias,várias
650,apa,ama
650,passana,passada
650,utp,um
654,sfaltica,salpica
659,prudentpolis,prudentpolis
660,palmitalzinho,palmitalzinho
661,urbanizao,urbaniza
664,sinalizao,sinalizar
664,guas,duas
664,sanitrio,sanitário
665,botafogo,botafogo
665,igarapaupa,igarapaupa
666,rea,era
666,maraba,acaba
667,wenceslau,wenceslau
668,tracuateuapa,tracuateuapa
675,pacprotransportemobilurbanaadequacao,pacprotransportemobilurbanaadequacao
675,urbanisticaestruturalpassagem,urbanisticaestruturalpassagem
675,subterranea,subterrânea
675,praca,praia
675,sacadura,sacadora
675,cabralmcruzes,cabralmcruzes
676,metroviario,metroviario
676,lauro,louro
676,freitas,feitas
676,smsl,mal
677,bahia,batia
678,fortalezace,fortaleza
678,estaiada,estalada
678,cocointervencoesconstrucao,cocointervencoesconstrucao
680,berrini,terrina
681,aricanduva,aricanduva
682,m,a
682,mirim,miram
682,angela,anela
683,mboi,boi
684,estr,está
685,itaquera,itaquera
688,mirimsto,mirimsto
697,rm,um
697,ba,a
697,piraja,pirata
698,gebara,gabara
698,guaxindiba,guaxindiba
699,teixeira,peixeira
701,autaz,audaz
701,mirin,iria
701,paraiba,praia
702,cptm,com
702,grajauvarginha,grajauvarginha
704,modernizacaoimplantacao,modernizacaoimplantacao
705,luziania,luzidia
705,godf,goda
706,ap,a
706,cruzeiroveiga,cruzeiroveiga
707,sada,nada
707,goianirainhumas,goianirainhumas
707,canedo,canudo
708,tecnicos,técnicos
708,econfinanceiroambiental,econfinanceiroambiental
711,tecnica,técnica
711,economica,economia
711,timon,timo
711,implantaca,implantada
712,ns,os
712,goinia,agonia
714,independencia,independência
717,atheneu,atendeu
717,consolacao,consolação
717,xii,xixi
717,t,a
721,conexao,conexão
722,poti,pote
725,norteleste,norteaste
727,sudestesul,sudestesul
727,gil,mil
727,martinsbr,martinsbr
728,avbarao,abarco
728,gurgueia,burguesia
728,wall,tal
728,contr,contra
728,barao,barco
730,abceixos,abcessos
730,guido,cuido
730,aliberti,liberta
730,taioca,tapioca
731,infraestr,infraestr
731,mobilid,mobília
731,abc,aba
731,alvarenga,avarenta
731,robert,coberto
732,maua,mau
734,invest,investi
734,infraest,infraest
734,pmobilidade,mobilidade
735,sluiz,luz
736,sc,se
736,corinthians,corinthians
737,pe,de
737,maringa,marinha
739,eldoradobelvedere,eldoradobelvedere
742,pirajaaguas,pirajaaguas
742,clarascajazeiras,clarascajazeiras
743,metroplitano,metropolitano
743,paripe,parece
744,retirosanta,retirosanta
745,simes,sites
745,filhoguas,filhoguas
746,articulacoes,articulações
750,colombo,coloco
750,direcao,direito
754,estudoscorredor,estudoscorredor
754,transporterodoviaria,transporterodoviaria
754,tcentral,central
754,progr,por
756,asanorte,ajanote
759,go,o
761,perimetralav,perimetralav
761,kubitschek,kubitschek
762,eduardo,guardo
762,giral,geral
762,bas,as
762,lagamar,patamar
763,radialista,radicalista
764,emlio,meio
764,menezesrua,menezesrua
765,messejana,messejana
765,cirilo,ciclo
766,pecem,pedem
767,eletrificacao,eletrificada
770,reconstrucao,reconstrução
770,rodofluviais,rodofluviais
771,cabral,cabra
771,lemoscorrespondente,lemoscorrespondente
771,brtbelem,rebelem
772,ananindeua,ananindeua
773,mergulhao,mergulhar
773,proje,prove
774,centario,centro
778,publicobrt,publicobrt
778,jeronimo,peronismo
778,albuquerque,albuquerque
778,guajajaras,guajajaras
779,evte,este
783,emtu,está
783,peruibe,percebe
783,mongagua,mongagua
784,cidadao,cidadão
785,transposicao,transposição
785,ferrea,férrea
787,ligao,ligar
787,fin,fiz
789,brancoentrada,brancoentrada
790,gravatai,gravata
790,viamao,viajar
794,frederico,frederico
794,dihl,dia
795,tama,cama
796,indai,andai
798,transborto,transporto
798,boraceia,braceia
799,cubataosantos,cubataosantos
802,faccini,fascina
803,articulacao,articulação
805,vilarinho,colarinho
806,proonibus,proonibus
807,al,a
807,marcelo,martelo
808,juca,jura
808,sampaiomuniz,sampaiomuniz
809,merin,seria
809,benedito,bendito
809,bentes,sentes
811,maceial,material
812,manausam,manaram
813,colnia,colónia
813,antnio,antigo
813,aleixobola,aleixobola
813,jos,os
814,constantino,constantino
814,nery,ser
814,torquato,porquanto
814,tapajs,tapas
814,max,mas
814,noel,novel
814,nutels,nuvens
820,monotrilho,monotrilho
822,light,ligar
824,transbrasil,transbrasil
824,deodorosanta,deodorosanta
825,transbrasiltransoeste,transbrasiltransoeste
